name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,id,html,cluster
God in the Flesh,Eternal Solstice,314.0,842.0,2,-13.35,1,813.0,2.96e-05,502.0,302.0,427.0,133.943,,245133,4,2CQ46WUYF85T1IYsGzJ1Bt,https://open.spotify.com/track/2CQ46WUYF85T1IYsGzJ1Bt,0.0
Torn Apart,Eternal Solstice,326.0,889.0,7,-13.71,1,543.0,5.33e-06,663.0,245.0,396.0,108.717,,146240,4,7EN6vAfblVr4EBjpoM8t1n,https://open.spotify.com/track/7EN6vAfblVr4EBjpoM8t1n,8.0
Culpable Homicide,Eternal Solstice,0.27,961.0,4,-5.38,0,102.0,8.67e-05,918.0,125.0,335.0,105.988,,302267,4,2nPJrF2ZfBtqEN0XRDbWQ3,https://open.spotify.com/track/2nPJrF2ZfBtqEN0XRDbWQ3,6.0
Eternal Solstice - Thrall to the Gallows,Eternal Solstice,249.0,708.0,11,-15.09,1,49.0,4.64e-06,868.0,0.12,0.34,101.596,,304533,4,0RUGRbpFFiXrAMkiPBTJXp,https://open.spotify.com/track/0RUGRbpFFiXrAMkiPBTJXp,6.0
Eternal Solstice – Obscuration,Eternal Solstice,221.0,926.0,9,-13.502,1,502.0,7.63e-06,853.0,573.0,453.0,100.224,,186973,4,0URV60v64Ty8BVqGG0tlDX,https://open.spotify.com/track/0URV60v64Ty8BVqGG0tlDX,4.0
Unchallenged Hate,Napalm Death,238.0,792.0,2,-13.759,1,502.0,2.09e-06,913.0,0.2,542.0,104.052,,127800,4,69kv8axFs4ibohpVQENLeP,https://open.spotify.com/track/69kv8axFs4ibohpVQENLeP,8.0
Blood Brothers,Malevolent Creation,344.0,989.0,4,-9.856,0,113.0,7.6e-05,769.0,221.0,453.0,92.122,,244227,4,0ptkVNdGoeHLDsZ5CZlu7q,https://open.spotify.com/track/0ptkVNdGoeHLDsZ5CZlu7q,0.0
Chaos Fury,Vomitory,302.0,908.0,10,-6.904,0,759.0,6.92e-06,894.0,299.0,785.0,119.13,,189800,5,2nHkf2fVMG9aKH1Doq39sH,https://open.spotify.com/track/2nHkf2fVMG9aKH1Doq39sH,4.0
Mind Reflections (Original),Pestilence,275.0,992.0,11,-5.069,1,104.0,556.0,3.94e-06,349.0,0.12,155.909,,201027,3,5liDBlyn4sIyVSC5UXqoaN,https://open.spotify.com/track/5liDBlyn4sIyVSC5UXqoaN,4.0
Games Of Humilation - remastered,Pungent Stench,223.0,816.0,6,-3.739,1,508.0,123.0,0.8,0.31,341.0,109.68,,307013,4,0hjWNzk5EuTURE5vj9qYzO,https://open.spotify.com/track/0hjWNzk5EuTURE5vj9qYzO,6.0
I am god,Vital Remains,213.0,988.0,4,-4.344,0,158.0,355.0,199.0,0.12,193.0,78.847,,577027,4,3yOTPjV8G90UoAY67LXUtZ,https://open.spotify.com/track/3yOTPjV8G90UoAY67LXUtZ,7.0
"No Jesus, No Beast                                                                                                                                                             ",Immolation,0.31,969.0,7,-6.018,1,922.0,568.0,645.0,611.0,799.0,83.838,,282667,4,5BXuKHeHbh7Y61u9igdUQO,https://open.spotify.com/track/5BXuKHeHbh7Y61u9igdUQO,6.0
Siege Of Power,Napalm Death,326.0,879.0,3,-14.048,1,671.0,6.19e-06,732.0,223.0,304.0,136.633,,213067,4,10PTfUSviOQVm4sbniYuHd,https://open.spotify.com/track/10PTfUSviOQVm4sbniYuHd,4.0
The Holocaust Incarnate,Aborted,371.0,828.0,10,-6.536,0,763.0,7.7e-05,559.0,947.0,508.0,115.76,,259587,4,0jJH8QONmQd1L8bv4dejGZ,https://open.spotify.com/track/0jJH8QONmQd1L8bv4dejGZ,0.0
Premature Autopsy,Entombed,124.0,961.0,7,-6.607,1,111.0,1.95e-06,0.85,678.0,194.0,172.986,,268200,4,1bhT7RgdMM1rHqbkpoREdR,https://open.spotify.com/track/1bhT7RgdMM1rHqbkpoREdR,6.0
Body's Decay,Electrocution,284.0,975.0,4,-6.01,1,145.0,3.7e-06,719.0,345.0,453.0,135.618,,204000,4,46MSK0HHVUUMaCFHeictit,https://open.spotify.com/track/46MSK0HHVUUMaCFHeictit,4.0
Growing Into the Flesh,Electrocution,363.0,951.0,8,-6.116,1,145.0,1.72e-06,869.0,185.0,456.0,130.718,,208200,4,3wve3wCLgB5Vge4ilHM5bf,https://open.spotify.com/track/3wve3wCLgB5Vge4ilHM5bf,4.0
Beyond,Atheist,213.0,983.0,8,-8.921,0,193.0,1.32e-05,876.0,948.0,131.0,143.239,,181387,3,2UH8ygziKEGD8ZqPSYIYYM,https://open.spotify.com/track/2UH8ygziKEGD8ZqPSYIYYM,4.0
